cropPattern,cropPattern_Inter Cropping,cropPattern_Mix cropping,cropPattern_Sole Cropping,cropPattern_Sole cropping,cropPattern_inter Cropping
Sole Cropping,0,0,0,0,0
Inter Cropping,0,0,0,0,0
inter Cropping,0,0,0,0,0
Mix cropping,0,0,0,0,0
Sole cropping,0,0,0,0,0
