Harvesting Week,Harvesting Week_Week 1,Harvesting Week_Week 2,Harvesting Week_Week 3,Harvesting Week_Week 4,Harvesting Week_Week 5,Harvesting Week_Week 6
Week 2,0,0,0,0,0,0
Week 4,0,0,0,0,0,0
Week 1,0,0,0,0,0,0
Week 3,0,0,0,0,0,0
Week 5,0,0,0,0,0,0
Week 6,0,0,0,0,0,0
