Source Class,Source Class_BREEDER,Source Class_CERTIFIED I,Source Class_FOUNDATION I,Source Class_FOUNDATION II
FOUNDATION II,0,0,0,0
FOUNDATION I,0,0,0,0
BREEDER,0,0,0,0
CERTIFIED I,0,0,0,0
