Destination Class,Destination Class_CERTIFIED I,Destination Class_CERTIFIED II,Destination Class_FOUNDATION I,Destination Class_FOUNDATION II
CERTIFIED I,0,0,0,0
FOUNDATION I,0,0,0,0
FOUNDATION II,0,0,0,0
CERTIFIED II,0,0,0,0
