typeOfSowing,typeOfSowing_0,typeOfSowing_Dibbling,typeOfSowing_Drilling,typeOfSowing_Transplanting
Drilling,0,0,0,0
0,0,0,0,0
Dibbling,0,0,0,0
Transplanting,0,0,0,0
