Variety_0,Variety_1,Variety_2,Variety_3,Variety_4,Variety_5,Variety_6,Variety_7,Variety
0,1,1,0,1,1,0,0,PDKV-KISAN
0,1,1,0,1,1,0,1,PDKV-Sadhana
0,1,1,0,1,1,1,0,PHULE SWARUPA (DTS-222)
0,1,1,0,1,1,1,1,IISR PRAGATI
0,1,1,1,0,0,0,0,IISR Prathiba
0,1,1,1,0,0,0,1,WRG-255
0,1,1,1,0,0,1,0,PBNS-86
0,1,1,1,0,0,1,1,JAKI-9218
0,1,1,1,0,1,0,0,PKV-NL-260
0,1,1,1,0,1,0,1,PHULEVIKRANT
0,1,1,1,0,1,1,0,RAJVIJAY-202(RVG202)
0,1,1,1,0,1,1,1,PHULEVIKRAM
0,1,1,1,1,0,0,0,PDKV-KANAK(AKG-1303)
0,1,1,1,1,0,0,1,PHULE-VISHWARAJ
0,1,1,1,1,0,1,0,RVG-204
0,1,1,1,1,0,1,1,BG-3062
0,1,1,1,1,1,0,0,PDKV-KANCHAN(AKGS-1109)
0,1,1,1,1,1,0,1,BG-10216
0,1,1,1,1,1,1,0,TAM 108-1
0,1,1,1,1,1,1,1,Super Annigeri-1 (MABC-WR-SAI)
1,0,0,0,0,0,0,0,VIJAY(PHULEG-81-1-1)
1,0,0,0,0,0,0,1,PDKV-SARDAR
1,0,0,0,0,0,1,0,DIGVIJAY
1,0,0,0,0,0,1,1,CHECKPEA(PUSAMANAV)
1,0,0,0,0,1,0,0,LOK-1
1,0,0,0,0,1,0,1,PHULESAMADHAN(NIAW-1994)
1,0,0,0,0,1,1,0,AKAW-4210
1,0,0,0,0,1,1,1,GW-496
1,0,0,0,1,0,0,0,MACS-6768
1,0,0,0,1,0,0,1,CHECKPEA(JG-24)
1,0,0,0,1,0,1,0,PDKV-KABULI-2
1,0,0,0,1,0,1,1,PBNS-12
1,0,0,0,1,1,0,0,BDNGK-798
1,0,0,0,1,1,0,1,PKVKRANTI(AKSV-13R)
1,0,0,0,1,1,1,0,PKV-PINK
1,0,0,0,1,1,1,1,HI-1544
1,0,0,1,0,0,0,0,LSL-93
1,0,0,1,0,0,0,1,MACS-4058
1,0,0,1,0,0,1,0,MACS-4028
1,0,0,1,0,0,1,1,PUSA RED
1,0,0,1,0,1,0,0,AKOLASAFED
1,0,0,1,0,1,0,1,Gujarat Junagarh Til-5 (GJT 5)
1,0,0,1,0,1,1,0,PHULE REVATI (RSV-1006)
1,0,0,1,0,1,1,1,M-35-1
1,0,0,1,1,0,0,0,ANNIGERI-2020 (ANG-17-102)
1,0,0,1,1,0,0,1,PARBHANI SHAKTI (PVK 1009)
1,0,0,1,1,0,1,0,MACS-6478
1,0,0,1,1,0,1,1,SSF-12.40
1,0,0,1,1,1,0,0,HD-2189
1,0,0,1,1,1,0,1,SSF-708
1,0,0,1,1,1,1,0,PARBHANIMOTI(SPV-1411)
1,0,0,1,1,1,1,1,PKVK-4
1,0,1,0,0,0,0,0,CSV-18
1,0,1,0,0,0,0,1,Parbhani Supermoti (SPV 2407)
1,0,1,0,0,0,1,0,PHULEVISHAL(G-87207)
1,0,1,0,0,0,1,1,PHULESUCHITRA (RSV-1098)
1,0,1,0,0,1,0,0,MALDANDI(M-35-1)
1,0,1,0,0,1,0,1,PKVKABULI(KAK-2)
1,0,1,0,0,1,1,0,POSHAN(HI-8663)
1,0,1,0,0,1,1,1,HI-1605
1,0,1,0,1,0,0,0,Phule yashomati
1,0,1,0,1,0,0,1,PHULEVIRAT(PHULEG-95418)
1,0,1,0,1,0,1,0,KRUPA/KRIPA
1,0,1,0,1,0,1,1,HI-1633
1,0,1,0,1,1,0,0,PKV KABULI
1,0,1,0,1,1,0,1,GULAK
1,0,1,0,1,1,1,0,VASUDHA (RSV-423)
1,0,1,0,1,1,1,1,AGRIFOUND LIGHT RED
1,0,1,1,0,0,0,0,BHIMAKIRAN
1,0,1,1,0,0,0,1,MACS-6222
1,0,1,1,0,0,1,0,NHRDF RED 2 (L 355)
